Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,jumlah,Apakah anda lebih memilih untuk belajar atau bermain game?,Apakah lebih mudah untuk menghafal pelajaran atau menghafal item / skill pada game?,jumlah,Apakah anda merasa game dapat membantu meningkatkan daya ingat anda?,Apakah anda merasa game dapat membantu meningkatkan penalaran anda?,Apakah Anda merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan Anda dalam mengambil keputusan?,Apakah Anda merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama?,Bagaimana Anda menilai dampak bermain game pada kesehatan mental Anda?,Bagaimana Anda menilai dampak bermain game pada kesehatan fisik Anda?,"Apakah Anda mengalami sakit kepala, mata lelah, atau masalah kesehatan lainnya saat bermain game dalam waktu yang lama?",Apakah Anda merasa bermain game membuat Anda kurang tertarik pada aktivitas atau hobi lainnya?,jumlah,Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,Jumlah,Apakah anda lebih memilih untuk belajar atau bermain game?,Apakah lebih mudah untuk menghafal pelajaran atau menghafal item / skill pada game?,Jumlah,Apakah anda merasa game dapat membantu meningkatkan daya ingat anda?,Apakah anda merasa game dapat membantu meningkatkan penalaran anda?,Apakah Anda merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan Anda dalam mengambil keputusan?,Apakah Anda merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama?,Bagaimana Anda menilai dampak bermain game pada kesehatan mental Anda?,Bagaimana Anda menilai dampak bermain game pada kesehatan fisik Anda?,"Apakah Anda mengalami sakit kepala, mata lelah, atau masalah kesehatan lainnya saat bermain game dalam waktu yang lama?",Apakah Anda merasa bermain game membuat Anda kurang tertarik pada aktivitas atau hobi lainnya?,Jumlah
3,4,1,3,11,2,1,3,1,2,2,1,3,1,2,1,13,2.946,3.482,1,2.506,9.934,2.21,1,3.21,1,1.991,2.721,1,2.493,1,2.604,1,13.811
3,4,1,3,11,2,2,4,2,2,2,3,4,1,2,2,18,2.946,3.482,1,2.506,9.934,2.21,2.616,4.826,2.011,1.991,2.721,2.888,3.606,1,2.604,2.616,19.438
3,4,1,1,9,2,2,4,3,3,2,1,1,1,2,1,14,2.946,3.482,1,1,8.428,2.21,2.616,4.826,3.165,3.221,2.721,1,1,1,2.604,1,15.712
3,4,1,1,9,2,2,4,3,3,2,1,1,1,2,2,15,2.946,3.482,1,1,8.428,2.21,2.616,4.826,3.165,3.221,2.721,1,1,1,2.604,2.616,17.328
3,3,2,3,11,3,2,5,3,3,2,1,4,3,2,1,19,2.946,2.622,2.124,2.506,10.198,3.421,2.616,6.036,3.165,3.221,2.721,1,3.606,2.678,2.604,1,19.996
3,4,2,3,12,3,2,5,3,3,2,3,4,1,2,1,19,2.946,3.482,2.124,2.506,11.058,3.421,2.616,6.036,3.165,3.221,2.721,2.888,3.606,1,2.604,1,20.206
3,1,1,1,6,1,1,2,3,3,2,1,3,1,1,1,15,2.946,1,1,1,5.946,1,1,2,3.165,3.221,2.721,1,2.493,1,1,1,15.601
3,3,1,3,10,3,2,5,3,3,2,3,4,1,1,2,19,2.946,2.622,1,2.506,9.074,3.421,2.616,6.036,3.165,3.221,2.721,2.888,3.606,1,1,2.616,20.217
3,4,1,1,9,2,1,3,2,2,1,3,3,3,1,1,16,2.946,3.482,1,1,8.428,2.21,1,3.21,2.011,1.991,1,2.888,2.493,2.678,1,1,15.062
3,2,1,1,7,2,2,4,3,3,2,1,4,1,2,1,17,2.946,2.006,1,1,6.953,2.21,2.616,4.826,3.165,3.221,2.721,1,3.606,1,2.604,1,18.318
3,4,1,1,9,2,2,4,3,3,2,1,3,1,1,1,15,2.946,3.482,1,1,8.428,2.21,2.616,4.826,3.165,3.221,2.721,1,2.493,1,1,1,15.601
1,2,1,1,5,2,1,3,2,2,2,2,4,2,2,1,17,1,2.006,1,1,5.006,2.21,1,3.21,2.011,1.991,2.721,2.099,3.606,2.031,2.604,1,18.064
3,3,3,3,12,2,2,4,3,3,2,3,3,3,1,2,20,2.946,2.622,2.819,2.506,10.892,2.21,2.616,4.826,3.165,3.221,2.721,2.888,2.493,2.678,1,2.616,20.782
3,3,1,1,8,2,2,4,1,1,2,1,3,1,1,1,11,2.946,2.622,1,1,7.568,2.21,2.616,4.826,1,1,2.721,1,2.493,1,1,1,11.215
2,2,2,1,7,1,2,3,3,3,2,1,1,1,1,2,14,1.871,2.006,2.124,1,7.002,1,2.616,3.616,3.165,3.221,2.721,1,1,1,1,2.616,15.723
3,3,1,1,8,2,2,4,3,3,2,1,3,1,1,1,15,2.946,2.622,1,1,7.568,2.21,2.616,4.826,3.165,3.221,2.721,1,2.493,1,1,1,15.601
3,2,3,1,9,2,2,4,3,2,2,1,3,3,2,1,17,2.946,2.006,2.819,1,8.771,2.21,2.616,4.826,3.165,1.991,2.721,1,2.493,2.678,2.604,1,17.654
1,1,1,1,4,1,1,2,1,1,1,3,3,1,1,2,13,1,1,1,1,4,1,1,2,1,1,1,2.888,2.493,1,1,2.616,12.997
1,1,1,1,4,1,2,3,3,3,2,3,4,3,2,2,22,1,1,1,1,4,1,2.616,3.616,3.165,3.221,2.721,2.888,3.606,2.678,2.604,2.616,23.499
3,4,1,1,9,2,2,4,3,3,2,1,3,3,1,1,17,2.946,3.482,1,1,8.428,2.21,2.616,4.826,3.165,3.221,2.721,1,2.493,2.678,1,1,17.279
3,3,3,3,12,2,2,4,3,3,2,1,4,1,1,1,16,2.946,2.622,2.819,2.506,10.892,2.21,2.616,4.826,3.165,3.221,2.721,1,3.606,1,1,1,16.714
3,3,2,1,9,1,1,2,1,1,2,1,3,2,1,1,12,2.946,2.622,2.124,1,8.692,1,1,2,1,1,2.721,1,2.493,2.031,1,1,12.245
1,1,1,1,4,2,1,3,3,1,2,1,3,1,2,2,15,1,1,1,1,4,2.21,1,3.21,3.165,1,2.721,1,2.493,1,2.604,2.616,16.6
2,2,1,1,6,1,2,3,3,3,2,3,4,3,2,1,21,1.871,2.006,1,1,5.877,1,2.616,3.616,3.165,3.221,2.721,2.888,3.606,2.678,2.604,1,21.884
