Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,jumlah
3,4,1,3,11
3,4,1,3,11
3,4,1,1,9
3,4,1,1,9
3,3,2,3,11
3,4,2,3,12
3,1,1,1,6
3,3,1,3,10
3,4,1,1,9
3,2,1,1,7
3,4,1,1,9
1,2,1,1,5
3,3,3,3,12
3,3,1,1,8
2,2,2,1,7
3,3,1,1,8
3,2,3,1,9
1,1,1,1,4
1,1,1,1,4
3,4,1,1,9
3,3,3,3,12
3,3,2,1,9
1,1,1,1,4
2,2,1,1,6
3,4,3,3,13
3,4,4,3,14
3,3,2,3,11
1,2,1,3,7
3,1,1,1,6
1,2,1,1,5
3,4,3,3,13
3,4,3,3,13
3,4,4,3,14
1,2,1,3,7
2,2,2,1,7
1,1,1,1,4
3,2,1,3,9
1,3,2,1,7
2,2,3,3,10
1,2,4,3,10
1,1,2,1,5
3,1,1,1,6
3,1,3,1,8
1,1,2,1,5
3,1,1,3,8
1,1,4,1,7
3,4,4,4,15
3,4,3,4,14
1,4,2,3,10
3,2,2,1,8
3,4,3,3,13
2,3,3,3,11
2,4,1,1,8
2,3,2,2,9
1,1,3,1,6
2,4,2,3,11
2,2,2,1,7
2,3,2,2,9
2,2,2,2,8
2,3,2,3,10
2,1,1,3,7
1,1,1,1,4
1,1,2,3,7
1,1,1,1,4
2,1,5,1,9
1,2,1,1,5
3,2,1,1,7
1,1,2,1,5
3,2,1,1,7
3,2,1,4,10
3,2,4,3,12
3,2,1,4,10
3,2,2,1,8
1,1,1,3,6
3,1,3,1,8
3,3,1,1,8
