Timestamp,Sebutkan rentang umur anda,Sebutkan jenis kelamin anda,Apakah anda menggunakan kacamata?,Sejak umur berapa anda menggunakan kacamata?,Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,Jumlah,Apakah anda lebih memilih untuk belajar atau bermain game?,Apakah lebih mudah untuk menghafal pelajaran atau menghafal item / skill pada game?,Jumlah,Apakah anda merasa game dapat membantu meningkatkan daya ingat anda?,Apakah anda merasa game dapat membantu meningkatkan penalaran anda?,Apakah Anda merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan Anda dalam mengambil keputusan?,Apakah Anda merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama?,Bagaimana Anda menilai dampak bermain game pada kesehatan mental Anda?,Bagaimana Anda menilai dampak bermain game pada kesehatan fisik Anda?,"Apakah Anda mengalami sakit kepala, mata lelah, atau masalah kesehatan lainnya saat bermain game dalam waktu yang lama?",Apakah Anda merasa bermain game membuat Anda kurang tertarik pada aktivitas atau hobi lainnya?,Jumlah
09/04/2023 15:02:33,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:10:51,26 - 35 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:12:54,< 18Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:13:56,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:14:47,18 - 25 Tahun,Perempuan,Tidak,18 - 25 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:14:59,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:17:31,18 - 25 Tahun,Laki Laki,Ya,18 - 25 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:19:33,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:23:12,26 - 35 Tahun,Laki Laki,Ya,18 - 25 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:27:52,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:34:40,18 - 25 Tahun,Perempuan,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:34:46,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:37:11,26 - 35 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:39:10,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:47:02,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:54:53,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 15:57:30,18 - 25 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 16:09:03,18 - 25 Tahun,Perempuan,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 16:10:30,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
09/04/2023 16:11:47,26 - 35 Tahun,Laki Laki,Tidak,,1,1,1,4,7,1,1,2,1,1,1,1,1,1,1,1,8
