,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profil responden,,,,,Kebiasaan bermain game,,,,,Prioritas antara belajar dan bermain game,,,Pengaruh game pada daya ingat dan penalaran,,,Pengaruh game pada kesehatan mental dan fisik,,,,,
,,,,,,,,,,,,,,,,,,,,,
p0,p1,p2,p3,p4,x1p1,x1p2,x1p3,x1p4,,x2p1,x2p2,,y1p1,y1p2,y1p3,y1p4,y1p5,y1p6,y1p7,y1p8,
Timestamp,Sebutkan rentang umur anda,Sebutkan jenis kelamin anda,Apakah anda menggunakan kacamata?,Sejak umur berapa anda menggunakan kacamata?,Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,Jumlah,Apakah anda lebih memilih untuk belajar atau bermain game?,Apakah lebih mudah untuk menghafal pelajaran atau menghafal item / skill pada game?,Jumlah,Apakah anda merasa game dapat membantu meningkatkan daya ingat anda?,Apakah anda merasa game dapat membantu meningkatkan penalaran anda?,Apakah Anda merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan Anda dalam mengambil keputusan?,Apakah Anda merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama?,Bagaimana Anda menilai dampak bermain game pada kesehatan mental Anda?,Bagaimana Anda menilai dampak bermain game pada kesehatan fisik Anda?,"Apakah Anda mengalami sakit kepala, mata lelah, atau masalah kesehatan lainnya saat bermain game dalam waktu yang lama?",Apakah Anda merasa bermain game membuat Anda kurang tertarik pada aktivitas atau hobi lainnya?,Jumlah
09/04/2023 15:02:33,18 - 25 Tahun,Laki Laki,Tidak,,3,4,1,3,11,2,1,3,1,2,2,1,3,1,2,1,13
09/04/2023 15:10:51,26 - 35 Tahun,Laki Laki,Tidak,,3,4,1,3,11,2,2,4,2,2,2,3,4,1,2,2,18
09/04/2023 15:12:54,< 18Tahun,Laki Laki,Tidak,,3,4,1,1,9,2,2,4,3,3,2,1,1,1,2,1,14
09/04/2023 15:13:56,18 - 25 Tahun,Perempuan,Ya,< 18 Tahun,3,4,1,1,9,2,2,4,3,3,2,1,1,1,2,2,15
09/04/2023 15:14:47,18 - 25 Tahun,Perempuan,Tidak,18 - 25 Tahun,3,3,2,3,11,3,2,5,3,3,2,1,4,3,2,1,19
09/04/2023 15:14:59,18 - 25 Tahun,Laki Laki,Tidak,,3,4,2,3,12,3,2,5,3,3,2,3,4,1,2,1,19
09/04/2023 15:17:31,18 - 25 Tahun,Laki Laki,Ya,18 - 25 Tahun,3,1,1,1,6,1,1,2,3,3,2,1,3,1,1,1,15
09/04/2023 15:19:33,18 - 25 Tahun,Laki Laki,Ya,< 18 Tahun,3,3,1,3,10,3,2,5,3,3,2,3,4,1,1,2,19
09/04/2023 15:23:12,26 - 35 Tahun,Laki Laki,Ya,18 - 25 Tahun,3,4,1,1,9,2,1,3,2,2,1,3,3,3,1,1,16
