Sebutkan rentang umur anda,Sebutkan jenis kelamin anda,Apakah anda menggunakan kacamata?,Sejak umur berapa anda menggunakan kacamata?,Berapa lama anda telah bermain game?,Berapa lama anda bermain game dalam sehari?,Jenis game apa yang anda mainkan?,Perangkat apa yang biasa anda gunakan untuk bermain game?,Apakah anda lebih memilih untuk belajar atau bermain game?,Apakah lebih mudah untuk menghafal pelajaran atau menghafal item / skill pada game?,Apakah anda merasa game dapat membantu meningkatkan daya ingat anda?,Apakah anda merasa game dapat membantu meningkatkan penalaran anda?,Apakah Anda merasa permainan yang memerlukan keterampilan taktik dan strategi membantu meningkatkan kemampuan Anda dalam mengambil keputusan?,Apakah Anda merasa stres atau cemas ketika tidak bermain game dalam waktu yang lama?,Bagaimana Anda menilai dampak bermain game pada kesehatan mental Anda?,Bagaimana Anda menilai dampak bermain game pada kesehatan fisik Anda?,"Apakah Anda mengalami sakit kepala, mata lelah, atau masalah kesehatan lainnya saat bermain game dalam waktu yang lama?",Apakah Anda merasa bermain game membuat Anda kurang tertarik pada aktivitas atau hobi lainnya?
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
5,2,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
5,2,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
5,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
4,1,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
